wId,wFname,wMinit,wLName,wStreet,wStreet2,wCity,wZip,wPhone,dateTempInterview,startDateAvailable,averageRating
B1EA672A,Wanda,Whilemina,Parks,"Ap #315-7542 A, Ave",6189 Venenatis Street,Sanluri,51216,462-317-5004,2018-11-14 06:30:16,2018-12-02 02:08:13,7
37F4F59D,Travis,Demetria,Brennan,"P.O. Box 955, 2796 Mi Av.",308-9587 Justo Rd.,Villafranca d'Asti,58338,234-375-9841,2018-10-30 19:35:48,2018-11-25 08:53:32,5
58BCD7C3,Gretchen,Yuli,Stafford,2446 Magnis St.,3962 Urna Avenue,Jefferson City,58578,633-193-6320,2018-12-10 05:32:39,2018-11-25 01:55:45,6
B6979BBE,Blaine,Nola,Dejesus,846-977 Nullam Street,"P.O. Box 876, 9883 Sem Road",Vandoies/Vintl,59806,692-177-7081,2018-11-02 03:00:56,2018-10-27 03:57:17,8
87E8D390,Evangeline,Desirae,Preston,6188 Egestas Avenue,Ap #330-2396 Eleifend St.,Molino dei Torti,59861,832-138-9632,2018-12-18 21:22:40,2018-11-18 17:52:31,3
03DD7FB6,Honorato,Keelie,Kennedy,Ap #169-3442 Tincidunt. Rd.,136-2910 Quis Street,Cairns,59939,447-168-4834,2018-10-27 04:39:53,2018-12-10 13:14:25,5
F3E19D5E,Clarke,Bryar,Beach,4163 Malesuada Av.,Ap #337-7361 Neque St.,Tournefeuille,67266,220-273-1698,2018-11-15 00:10:58,2018-11-17 10:47:56,2
F3D4D51E,Erich,Alec,Francis,"9401 Fringilla, St.","P.O. Box 867, 7629 Et Ave",Canela,70011,658-831-2656,2018-11-07 09:01:37,2018-11-24 12:36:45,2
E4117DE9,Tucker,Colin,Gay,"P.O. Box 530, 8821 Leo, Road","P.O. Box 326, 7312 Semper Road",Malbaie,70116,606-295-4748,2018-11-01 12:49:32,2018-11-07 12:52:15,9
A492113E,Leandra,Orli,Olsen,528-1019 Vitae St.,6044 Interdum Av.,Roux,70408,654-903-2246,2018-12-29 23:05:41,2018-12-08 08:29:48,6
